id	filename	md5	size	state
200d0452-cd1d-43a4-8b7d-a6efccfecc27	ff797a69-d827-47a0-b6df-80be0eff956d.mirbase21.mirnas.quantification.txt	ed44957287c5b5eea87a2165bf616573	50612	released
65f94233-e5fd-468f-aec6-94f2347d2f34	35a20c09-b72d-49f3-95b7-91ee3002fd8d.mirbase21.mirnas.quantification.txt	99a2f6922c5ed004f2ac4f430b1d381c	50226	released
dd81dd2f-0be1-4507-b931-9cc2b197b9f8	10db26c3-20bd-4204-bbdc-eb1ad49e91c3.mirbase21.mirnas.quantification.txt	13500877ce9845329355174c06a5b600	50153	released
347a8e69-dab4-4920-a395-8ee80256d0ff	daf3b479-79cc-4f4e-b136-923ef6156e48.mirbase21.mirnas.quantification.txt	a8b7b92ca1c8193da9cb5d99b460fcb9	50204	released
406fd7d3-b73a-4014-b315-1eeaae01e988	ed031645-7a24-48a1-a0d5-70ea334abf5f.mirbase21.mirnas.quantification.txt	335af305a60a8fcf6bf978140e69f73e	50194	released
2a3fd28d-255b-4079-8348-029bd0755803	589dd6e4-a03e-44bf-bc11-451602e4d22e.mirbase21.mirnas.quantification.txt	003feab83c30d3933c2a1979c5a17197	50126	released
8bfeb4f1-4193-4386-88d3-1dc935f5d7a9	0bb63e02-f74a-4acc-b000-b87bd5abcd71.mirbase21.mirnas.quantification.txt	9799cc689dc3f7bbdf3f0e76596ca34d	50103	released
ca7a1993-022c-4734-ab71-33ff5cba2179	d5ba7329-97b2-4ff0-a852-f4399a900934.mirbase21.mirnas.quantification.txt	41efa057a243f4dab7a09fd13c7357c5	50371	released
da6ed22f-8583-484c-85d2-cd5f29c4eeeb	a2be2fb2-a488-4ff8-8c6f-a44d6a7cca91.mirbase21.mirnas.quantification.txt	7a54376a2afad6ea3829295ca562ba49	50355	released
85b21f9d-07de-4576-9652-740a5a550124	cbeb48f8-eb79-4db3-b077-ba394031edee.mirbase21.mirnas.quantification.txt	358903e1cf9a51873f01f37f72dc2637	50244	released
0df5c188-00ed-4407-9057-5d97df62e6f2	3ffcb415-e185-47b4-8cab-b06c4206845e.mirbase21.mirnas.quantification.txt	a258909581c09e2e26ff3b79b742cd40	50274	released
68b113cd-faec-4cca-b21b-2683ef1bbb73	bc0cacc9-e3b2-433b-8cd4-251c62e0acb5.mirbase21.mirnas.quantification.txt	c9297197d59aa3e162ae4d373da1419d	50314	released
8b364946-e0c7-4452-be4e-220cea70f4ce	f50cb3c4-4f8d-415e-95a7-de2baab0daef.mirbase21.mirnas.quantification.txt	8238b8d5543bc67188fc6f19ae3e0a99	50024	released
964aab26-ff67-4bfc-893a-68c3eb84752a	f01c1156-3363-43e1-9394-b1f88deba0d5.mirbase21.mirnas.quantification.txt	8309db3e3a6719f8342f9c3bf841f83c	50190	released
4054a92c-e4c6-4742-99fc-2e9bc0b99ed5	5af377ab-7c3e-4a8d-9583-51b667d82700.mirbase21.mirnas.quantification.txt	a2869b61b424a36491e8b5ca34b9b8dd	50129	released
d8e18a38-0e22-4c3e-882e-2036af42a78a	a3a9999c-52e6-4c7f-a39e-575d73177f10.mirbase21.mirnas.quantification.txt	795203198fa808bcbaca484febfe7495	50239	released
f16f009f-c863-43a8-94bf-f24ed4fde296	f00dddc4-9a26-4569-aa6f-c6f65341283a.mirbase21.mirnas.quantification.txt	94fdfe73d946de08cd63c166def9f949	50063	released
48d6066e-9233-4968-af23-26c232c95921	fe2ae40f-a2d0-41a0-8847-f43858578df4.mirbase21.mirnas.quantification.txt	7812c45d1e510835a743e448319fcec3	50189	released
30b2fec5-69ef-48db-9d33-e35642818ad5	d4a86ef1-506f-4dc9-904d-69394d0c3dba.mirbase21.mirnas.quantification.txt	189ed8aff689e108e9d372e91136b4af	50376	released
dd4dc066-210e-45e4-a2e3-4fa2e2635276	943862c7-891b-4a39-ba41-b3966e4dd237.mirbase21.mirnas.quantification.txt	6f3cc20bbd6b5dd269dca5dd0c90d532	50229	released
